Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%
Tyus Jones,26.8,10.2,2.4,5.3,0.9,0.1,0.448,0.414
Trendon Watford,20.8,10.2,3.6,2.6,0.6,0.3,0.469,0.33
Keion Brooks Jr.,23.7,10.1,4.1,0.9,0.7,0.7,0.486,0.326
Luguentz Dort,29.2,10.1,4.1,1.6,1.1,0.5,0.435,0.412
Justin Edwards,26.3,10.1,3.4,1.6,1.0,0.4,0.455,0.363
Derrick Jones Jr.,24.3,10.1,3.4,0.8,1.0,0.4,0.526,0.356
Ausar Thompson,22.5,10.1,5.1,2.3,1.7,0.7,0.535,0.224
Chris Boucher,17.2,10.0,4.5,0.7,0.5,0.5,0.492,0.363
Andrew Nembhard,28.9,10.0,3.3,5.0,1.2,0.2,0.458,0.291
Ziaire Williams,24.5,10.0,4.6,1.3,1.0,0.4,0.412,0.341
Kevin Huerter,24.3,9.9,3.0,2.3,1.0,0.3,0.425,0.338
Kevin Huerter,20.9,7.9,2.8,1.7,0.8,0.4,0.413,0.302
Kevin Huerter,30.0,13.2,3.3,3.2,1.2,0.3,0.439,0.376
Georges Niang,21.5,9.9,3.4,1.4,0.4,0.2,0.461,0.406
Georges Niang,20.6,8.7,3.7,1.3,0.3,0.1,0.477,0.4
Georges Niang,23.0,12.1,3.0,1.6,0.4,0.3,0.441,0.413
Julian Champagnie,23.6,9.9,3.9,1.4,0.7,0.4,0.415,0.371
Scotty Pippen Jr.,21.3,9.9,3.3,4.4,1.3,0.4,0.48,0.397
Nick Smith Jr.,22.8,9.9,2.1,2.4,0.3,0.1,0.391,0.34
Bub Carrington,30.0,9.8,4.2,4.4,0.7,0.3,0.401,0.339
Moses Moody,22.3,9.8,2.6,1.3,0.8,0.4,0.433,0.374
Amir Coffey,24.3,9.7,2.2,1.1,0.6,0.1,0.471,0.409
Max Christie,27.3,9.6,3.3,1.9,0.8,0.4,0.427,0.366
Max Christie,25.1,8.5,2.7,1.4,0.8,0.5,0.444,0.368
Max Christie,30.4,11.2,4.2,2.5,0.9,0.3,0.411,0.364
Kyle Filipowski,21.1,9.6,6.1,1.9,0.7,0.3,0.502,0.35
Tosan Evbuomwan,23.8,9.5,4.3,2.0,0.9,0.4,0.427,0.312
Miles McBride,24.9,9.5,2.5,2.9,1.0,0.3,0.406,0.369
Jalen Wilson,25.7,9.5,3.4,1.8,0.5,0.1,0.397,0.337
Nickeil Alexander-Walker,25.3,9.4,3.2,2.7,0.6,0.4,0.438,0.381
Cole Anthony,18.4,9.4,3.0,2.9,0.7,0.5,0.424,0.353
Anthony Black,24.2,9.4,2.9,3.1,1.1,0.6,0.423,0.318
Max Strus,25.5,9.4,4.3,3.2,0.5,0.2,0.442,0.386
Tristan Vukcevic,14.7,9.4,3.7,1.1,0.3,0.7,0.496,0.373
Cam Whitmore,16.2,9.4,3.0,1.0,0.6,0.3,0.444,0.355
Nick Richards,22.0,9.3,8.2,0.9,0.2,1.0,0.591,0.0
Nick Richards,21.0,8.9,7.5,1.3,0.3,1.2,0.561,0.0
Nick Richards,22.7,9.5,8.6,0.6,0.2,0.8,0.605,0.0
Kel'el Ware,22.2,9.3,7.4,0.9,0.6,1.1,0.554,0.315
Zach Edey,21.5,9.2,8.3,1.0,0.5,1.3,0.58,0.346
Wendell Carter Jr.,25.9,9.1,7.2,2.0,0.8,0.6,0.46,0.234
Noah Clowney,22.7,9.1,3.9,0.9,0.5,0.5,0.358,0.333
Dalton Knecht,19.2,9.1,2.8,0.8,0.3,0.1,0.461,0.376
A.J. Lawson,18.7,9.1,3.3,1.2,0.5,0.2,0.421,0.327
T.J. McConnell,17.9,9.1,2.4,4.4,1.1,0.3,0.519,0.306
Yves Missi,26.8,9.1,8.2,1.4,0.5,1.3,0.547,0.0
Royce O'Neale,24.5,9.1,4.7,2.2,0.9,0.5,0.423,0.406
Jared Butler,17.4,9.0,1.8,3.7,0.7,0.2,0.448,0.355
Jared Butler,11.3,6.9,1.3,2.6,0.4,0.2,0.483,0.366
Jared Butler,24.4,11.5,2.5,4.9,1.1,0.3,0.426,0.352
Marcus Smart,20.0,9.0,2.1,3.2,1.1,0.3,0.393,0.348
Marcus Smart,21.1,8.7,2.3,3.7,1.2,0.3,0.358,0.322
Marcus Smart,18.7,9.3,1.9,2.5,1.1,0.2,0.44,0.392
Draymond Green,29.2,9.0,6.1,5.6,1.5,1.0,0.424,0.325
Killian Hayes,27.0,9.0,3.0,5.2,0.7,0.7,0.419,0.381
Al Horford,27.7,9.0,6.2,2.1,0.6,0.9,0.423,0.363
Julian Strawther,21.3,9.0,2.2,1.3,0.6,0.2,0.432,0.349
Patrick Williams,25.0,9.0,3.8,2.0,0.8,0.5,0.397,0.353
Jusuf NurkiÄ,20.8,8.9,7.8,2.3,0.8,0.7,0.477,0.305
Jusuf NurkiÄ,23.7,8.6,9.2,1.9,0.9,0.6,0.454,0.322
Jusuf NurkiÄ,18.1,9.2,6.5,2.6,0.7,0.7,0.497,0.283
Clint Capela,21.4,8.9,8.5,1.1,0.6,1.0,0.559,0.0
Johnny Juzang,19.8,8.9,2.9,1.1,0.6,0.1,0.429,0.376
Luke Kennard,22.6,8.9,2.8,3.3,0.8,0.1,0.478,0.433
Justin Champagnie,21.6,8.8,5.7,1.0,1.0,0.6,0.511,0.383
Svi Mykhailiuk,20.0,8.8,2.4,2.0,0.5,0.2,0.391,0.345
Chris Paul,28.0,8.8,3.6,7.4,1.3,0.3,0.427,0.377
Kelly Olynyk,20.3,8.7,4.7,2.9,0.8,0.4,0.5,0.418
Kelly Olynyk,16.0,7.1,3.7,2.3,0.7,0.3,0.5,0.442
Kelly Olynyk,25.4,10.7,5.9,3.6,0.9,0.6,0.5,0.389
Dorian Finney-Smith,28.9,8.7,3.9,1.4,0.9,0.4,0.448,0.411
Dorian Finney-Smith,29.0,10.4,4.6,1.6,0.9,0.6,0.459,0.435
Dorian Finney-Smith,28.8,7.9,3.6,1.4,0.9,0.3,0.442,0.398
Oshae Brissett,23.7,8.7,3.7,0.7,0.7,0.5,0.487,0.333
Kentavious Caldwell-Pope,29.6,8.7,2.2,1.8,1.3,0.4,0.439,0.342
Isaiah Collier,25.9,8.7,3.3,6.3,0.9,0.2,0.422,0.249
Dante Exum,18.6,8.7,1.7,2.8,0.6,0.2,0.478,0.434
Kyshawn George,26.5,8.7,4.2,2.5,1.0,0.7,0.372,0.322
Jaden Hardy,15.9,8.7,1.6,1.4,0.5,0.1,0.435,0.386
Dereck Lively II,23.1,8.7,7.5,2.4,0.6,1.6,0.702,
Tyrese Martin,21.9,8.7,3.7,2.0,0.6,0.2,0.406,0.351
Matas Buzelis,18.9,8.6,3.5,1.0,0.4,0.9,0.454,0.361
Jaime Jaquez Jr.,20.7,8.6,4.4,2.5,0.9,0.2,0.461,0.311
Ja'Kobe Walter,21.2,8.6,3.1,1.6,0.8,0.2,0.405,0.349
Sam Hauser,21.7,8.5,3.2,0.9,0.6,0.2,0.451,0.416
Larry Nance Jr.,19.3,8.5,4.3,1.6,0.8,0.5,0.516,0.447
Jared Rhoden,16.2,8.4,3.0,1.1,0.7,0.1,0.483,0.308
Jared Rhoden,3.0,1.0,1.0,0.5,0.3,0.0,0.25,0.0
Jared Rhoden,21.5,11.4,3.8,1.4,0.9,0.2,0.506,0.324
Jaylen Nowell,21.0,8.4,2.5,2.3,0.1,0.5,0.356,0.296
Cason Wallace,27.6,8.4,3.4,2.5,1.8,0.5,0.474,0.356
Bruce Brown,22.5,8.3,4.0,2.0,0.8,0.2,0.421,0.333
Bruce Brown,19.6,8.4,3.8,1.6,0.9,0.2,0.435,0.306
Bruce Brown,24.7,8.2,4.2,2.4,0.7,0.3,0.41,0.356
Dalano Banton,16.7,8.3,2.0,2.4,0.6,0.5,0.391,0.324
Brandon Clarke,18.9,8.3,5.1,1.0,0.8,0.6,0.621,0.059
Keon Ellis,24.4,8.3,2.7,1.5,1.5,0.8,0.489,0.433
Brandon Williams,14.8,8.3,1.8,2.3,0.7,0.2,0.521,0.4
Mike Conley,24.7,8.2,2.6,4.5,1.1,0.2,0.4,0.41
Taurean Prince,27.1,8.2,3.6,1.9,1.0,0.2,0.457,0.439
Jalen Smith,15.0,8.2,5.6,1.0,0.3,0.7,0.466,0.324
Quinten Post,16.3,8.1,3.5,1.3,0.4,0.4,0.449,0.408
Peyton Watson,24.4,8.1,3.4,1.4,0.7,1.4,0.477,0.353
Davion Mitchell,27.4,7.9,2.3,4.9,1.0,0.2,0.468,0.398
Davion Mitchell,24.5,6.3,1.9,4.6,0.7,0.2,0.434,0.359
Davion Mitchell,31.6,10.3,2.7,5.3,1.4,0.3,0.504,0.447
Caleb Martin,27.1,7.9,3.9,2.1,1.0,0.5,0.424,0.359
Caleb Martin,30.4,9.1,4.4,2.2,1.1,0.6,0.435,0.379
Caleb Martin,19.6,5.4,2.9,1.9,0.9,0.2,0.389,0.25
Tyson Etienne,21.6,7.9,1.3,1.7,0.4,0.1,0.327,0.295
Day'Ron Sharpe,18.1,7.9,6.6,1.8,0.8,0.8,0.521,0.244
KJ Simpson,23.4,7.8,3.0,3.1,0.9,0.2,0.346,0.254
Terance Mann,21.1,7.7,3.0,1.8,0.7,0.2,0.496,0.368
Terance Mann,19.8,6.0,2.9,1.6,0.8,0.3,0.446,0.347
Terance Mann,22.7,9.8,3.1,2.1,0.6,0.1,0.541,0.386
Karlo MatkoviÄ,18.8,7.7,5.0,1.1,0.5,1.0,0.574,0.318
AJ Johnson,22.0,7.6,2.0,2.6,0.4,0.1,0.385,0.267
AJ Johnson,6.3,2.9,1.0,1.0,0.1,0.0,0.421,0.6
AJ Johnson,27.0,9.1,2.4,3.1,0.5,0.1,0.381,0.247
Lonzo Ball,22.2,7.6,3.4,3.3,1.3,0.5,0.366,0.344
